transaction_id,customer_id,amount,transaction_type,channel,date,meets_minimum,blocked_pos,date_only,min_amt,high_pos,allowed_channel
2,CUST_0180,269.17,Credit,POS,2026-01-01 01:00:00,True,False,2026-01-01,True,True,False
12,CUST_0088,13.32,Debit,Online,2026-01-01 11:00:00,False,False,2026-01-01,False,True,True
19,CUST_0053,45.23,Debit,Online,2026-01-01 18:00:00,False,False,2026-01-01,False,True,True
25,CUST_0192,260.82,Debit,POS,2026-01-02 00:00:00,True,False,2026-01-02,True,True,False
32,CUST_0049,48.91,Debit,POS,2026-01-02 07:00:00,False,False,2026-01-02,False,True,True
34,CUST_0170,21.67,Credit,ATM,2026-01-02 09:00:00,False,False,2026-01-02,False,True,True
40,CUST_0190,113.74,Credit,POS,2026-01-02 15:00:00,True,False,2026-01-02,True,True,False
65,CUST_0172,10.42,Credit,Online,2026-01-03 16:00:00,False,False,2026-01-03,False,True,True
67,CUST_0175,38.35,Debit,ATM,2026-01-03 18:00:00,False,False,2026-01-03,False,True,True
70,CUST_0164,9.62,Credit,POS,2026-01-03 21:00:00,False,False,2026-01-03,False,True,False
71,CUST_0050,12.66,Debit,ATM,2026-01-03 22:00:00,False,False,2026-01-03,False,True,True
80,CUST_0191,244.98,Credit,POS,2026-01-04 07:00:00,True,False,2026-01-04,True,True,False
89,CUST_0200,15.31,Debit,ATM,2026-01-04 16:00:00,False,False,2026-01-04,False,True,True
95,CUST_0024,-4.38,Credit,Online,2026-01-04 22:00:00,False,False,2026-01-04,False,True,True
97,CUST_0188,229.83,Debit,POS,2026-01-05 00:00:00,True,False,2026-01-05,True,True,False
103,CUST_0065,49.23,Credit,POS,2026-01-05 06:00:00,False,False,2026-01-05,False,True,True
134,CUST_0193,154.96,Credit,POS,2026-01-06 13:00:00,True,False,2026-01-06,True,True,False
154,CUST_0151,130.22,Credit,POS,2026-01-07 09:00:00,True,False,2026-01-07,True,True,False
156,CUST_0171,22.55,Credit,Branch,2026-01-07 11:00:00,False,False,2026-01-07,False,True,True
166,CUST_0170,-64.09,Credit,Online,2026-01-07 21:00:00,False,False,2026-01-07,False,True,True
169,CUST_0185,115.94,Credit,POS,2026-01-08 00:00:00,True,False,2026-01-08,True,True,False
176,CUST_0030,19.54,Credit,ATM,2026-01-08 07:00:00,False,False,2026-01-08,False,True,True
181,CUST_0190,198.75,Debit,POS,2026-01-08 12:00:00,True,False,2026-01-08,True,True,False
182,CUST_0129,37.16,Credit,POS,2026-01-08 13:00:00,False,False,2026-01-08,False,True,True
189,CUST_0103,48.4,Credit,POS,2026-01-08 20:00:00,False,False,2026-01-08,False,True,True
217,CUST_0187,102.34,Credit,POS,2026-01-10 00:00:00,True,False,2026-01-10,True,True,False
230,CUST_0198,149.8,Credit,POS,2026-01-10 13:00:00,True,False,2026-01-10,True,True,False
232,CUST_0068,-4.69,Credit,ATM,2026-01-10 15:00:00,False,False,2026-01-10,False,True,True
233,CUST_0183,116.32,Debit,POS,2026-01-10 16:00:00,True,False,2026-01-10,True,True,False
247,CUST_0187,172.3,Debit,POS,2026-01-11 06:00:00,True,False,2026-01-11,True,True,False
260,CUST_0199,46.83,Credit,ATM,2026-01-11 19:00:00,False,False,2026-01-11,False,True,True
265,CUST_0039,22.84,Debit,POS,2026-01-12 00:00:00,False,False,2026-01-12,False,True,True
268,CUST_0129,43.17,Credit,Online,2026-01-12 03:00:00,False,False,2026-01-12,False,True,True
271,CUST_0178,102.18,Credit,POS,2026-01-12 06:00:00,True,False,2026-01-12,True,True,False
286,CUST_0197,127.05,Debit,POS,2026-01-12 21:00:00,True,False,2026-01-12,True,True,False
289,CUST_0009,32.85,Credit,Online,2026-01-13 00:00:00,False,False,2026-01-13,False,True,True
298,CUST_0161,-12.75,Credit,ATM,2026-01-13 09:00:00,False,False,2026-01-13,False,True,True
299,CUST_0152,230.87,Debit,POS,2026-01-13 10:00:00,True,False,2026-01-13,True,True,False
302,CUST_0113,29.28,Credit,POS,2026-01-13 13:00:00,False,False,2026-01-13,False,True,True
305,CUST_0166,-1.76,Debit,Branch,2026-01-13 16:00:00,False,False,2026-01-13,False,True,True
308,CUST_0112,35.73,Debit,Online,2026-01-13 19:00:00,False,False,2026-01-13,False,True,True
313,CUST_0128,-8.84,Debit,Online,2026-01-14 00:00:00,False,False,2026-01-14,False,True,True
328,CUST_0128,24.89,Credit,ATM,2026-01-14 15:00:00,False,False,2026-01-14,False,True,True
329,CUST_0136,38.32,Debit,ATM,2026-01-14 16:00:00,False,False,2026-01-14,False,True,True
335,CUST_0176,135.3,Debit,POS,2026-01-14 22:00:00,True,False,2026-01-14,True,True,False
340,CUST_0158,153.02,Credit,POS,2026-01-15 03:00:00,True,False,2026-01-15,True,True,False
344,CUST_0182,153.26,Credit,POS,2026-01-15 07:00:00,True,False,2026-01-15,True,True,False
358,CUST_0004,47.47,Credit,ATM,2026-01-15 21:00:00,False,False,2026-01-15,False,True,True
363,CUST_0172,232.7,Debit,POS,2026-01-16 02:00:00,True,False,2026-01-16,True,True,False
374,CUST_0181,208.49,Credit,POS,2026-01-16 13:00:00,True,False,2026-01-16,True,True,False
397,CUST_0194,147.5,Credit,POS,2026-01-17 12:00:00,True,False,2026-01-17,True,True,False
399,CUST_0155,117.49,Credit,POS,2026-01-17 14:00:00,True,False,2026-01-17,True,True,False
408,CUST_0170,159.26,Credit,POS,2026-01-17 23:00:00,True,False,2026-01-17,True,True,False
419,CUST_0173,195.11,Debit,POS,2026-01-18 10:00:00,True,False,2026-01-18,True,True,False
425,CUST_0115,47.69,Credit,Branch,2026-01-18 16:00:00,False,False,2026-01-18,False,True,True
439,CUST_0150,39.19,Credit,Branch,2026-01-19 06:00:00,False,False,2026-01-19,False,True,True
444,CUST_0180,188.41,Debit,POS,2026-01-19 11:00:00,True,False,2026-01-19,True,True,False
465,CUST_0168,203.44,Credit,POS,2026-01-20 08:00:00,True,False,2026-01-20,True,True,False
466,CUST_0052,46.93,Credit,ATM,2026-01-20 09:00:00,False,False,2026-01-20,False,True,True
502,CUST_0192,137.68,Debit,POS,2026-01-21 21:00:00,True,False,2026-01-21,True,True,False
503,CUST_0191,279.35,Debit,POS,2026-01-21 22:00:00,True,False,2026-01-21,True,True,False
511,CUST_0179,292.11,Credit,POS,2026-01-22 06:00:00,True,False,2026-01-22,True,True,False
513,CUST_0185,128.79,Debit,POS,2026-01-22 08:00:00,True,False,2026-01-22,True,True,False
514,CUST_0029,28.4,Debit,POS,2026-01-22 09:00:00,False,False,2026-01-22,False,True,True
518,CUST_0190,145.09,Credit,POS,2026-01-22 13:00:00,True,False,2026-01-22,True,True,False
546,CUST_0084,12.91,Debit,ATM,2026-01-23 17:00:00,False,False,2026-01-23,False,True,True
553,CUST_0161,163.84,Credit,POS,2026-01-24 00:00:00,True,False,2026-01-24,True,True,False
554,CUST_0189,10.52,Debit,POS,2026-01-24 01:00:00,False,False,2026-01-24,False,True,False
573,CUST_0081,34.88,Debit,POS,2026-01-24 20:00:00,False,False,2026-01-24,False,True,True
586,CUST_0075,20.77,Debit,POS,2026-01-25 09:00:00,False,False,2026-01-25,False,True,True
587,CUST_0157,192.43,Credit,POS,2026-01-25 10:00:00,True,False,2026-01-25,True,True,False
594,CUST_0152,122.94,Credit,POS,2026-01-25 17:00:00,True,False,2026-01-25,True,True,False
602,CUST_0190,2.69,Debit,POS,2026-01-26 01:00:00,False,False,2026-01-26,False,True,False
605,CUST_0113,22.71,Debit,POS,2026-01-26 04:00:00,False,False,2026-01-26,False,True,True
621,CUST_0177,125.88,Credit,POS,2026-01-26 20:00:00,True,False,2026-01-26,True,True,False
627,CUST_0009,38.94,Debit,Online,2026-01-27 02:00:00,False,False,2026-01-27,False,True,True
628,CUST_0199,206.61,Debit,POS,2026-01-27 03:00:00,True,False,2026-01-27,True,True,False
643,CUST_0151,208.78,Credit,POS,2026-01-27 18:00:00,True,False,2026-01-27,True,True,False
648,CUST_0181,271.7,Debit,POS,2026-01-27 23:00:00,True,False,2026-01-27,True,True,False
650,CUST_0186,20.58,Debit,ATM,2026-01-28 01:00:00,False,False,2026-01-28,False,True,True
663,CUST_0007,5.01,Credit,Branch,2026-01-28 14:00:00,False,False,2026-01-28,False,True,True
667,CUST_0170,160.77,Credit,POS,2026-01-28 18:00:00,True,False,2026-01-28,True,True,False
669,CUST_0178,133.76,Debit,POS,2026-01-28 20:00:00,True,False,2026-01-28,True,True,False
672,CUST_0194,172.8,Debit,POS,2026-01-28 23:00:00,True,False,2026-01-28,True,True,False
693,CUST_0167,115.99,Debit,POS,2026-01-29 20:00:00,True,False,2026-01-29,True,True,False
698,CUST_0126,13.39,Credit,Online,2026-01-30 01:00:00,False,False,2026-01-30,False,True,True
705,CUST_0200,194.38,Debit,POS,2026-01-30 08:00:00,True,False,2026-01-30,True,True,False
722,CUST_0058,36.47,Debit,Online,2026-01-31 01:00:00,False,False,2026-01-31,False,True,True
735,CUST_0185,37.91,Credit,Branch,2026-01-31 14:00:00,False,False,2026-01-31,False,True,True
736,CUST_0146,31.55,Credit,ATM,2026-01-31 15:00:00,False,False,2026-01-31,False,True,True
741,CUST_0159,160.15,Credit,POS,2026-01-31 20:00:00,True,False,2026-01-31,True,True,False
748,CUST_0185,76.67,Credit,POS,2026-02-01 03:00:00,True,False,2026-02-01,True,True,False
755,CUST_0156,187.88,Debit,POS,2026-02-01 10:00:00,True,False,2026-02-01,True,True,False
763,CUST_0186,32.93,Credit,Online,2026-02-01 18:00:00,False,False,2026-02-01,False,True,True
769,CUST_0192,109.44,Debit,POS,2026-02-02 00:00:00,True,False,2026-02-02,True,True,False
772,CUST_0145,40.69,Debit,Branch,2026-02-02 03:00:00,False,False,2026-02-02,False,True,True
773,CUST_0161,9.87,Credit,ATM,2026-02-02 04:00:00,False,False,2026-02-02,False,True,True
783,CUST_0153,75.71,Debit,POS,2026-02-02 14:00:00,True,False,2026-02-02,True,True,False
798,CUST_0026,1.89,Debit,POS,2026-02-03 05:00:00,False,False,2026-02-03,False,True,True
800,CUST_0086,12.36,Debit,Online,2026-02-03 07:00:00,False,False,2026-02-03,False,True,True
803,CUST_0177,256.45,Debit,POS,2026-02-03 10:00:00,True,False,2026-02-03,True,True,False
820,CUST_0165,-53.31,Debit,Online,2026-02-04 03:00:00,False,False,2026-02-04,False,True,True
831,CUST_0193,71.26,Debit,POS,2026-02-04 14:00:00,True,False,2026-02-04,True,True,False
840,CUST_0162,45.54,Credit,Branch,2026-02-04 23:00:00,False,False,2026-02-04,False,True,True
858,CUST_0075,19.57,Debit,Branch,2026-02-05 17:00:00,False,False,2026-02-05,False,True,True
870,CUST_0179,78.38,Credit,POS,2026-02-06 05:00:00,True,False,2026-02-06,True,True,False
895,CUST_0115,4.1,Debit,POS,2026-02-07 06:00:00,False,False,2026-02-07,False,True,True
897,CUST_0151,59.43,Debit,POS,2026-02-07 08:00:00,True,False,2026-02-07,True,True,False
910,CUST_0096,13.69,Debit,Branch,2026-02-07 21:00:00,False,False,2026-02-07,False,True,True
912,CUST_0155,43.28,Credit,Branch,2026-02-07 23:00:00,False,False,2026-02-07,False,True,True
914,CUST_0160,161.3,Credit,POS,2026-02-08 01:00:00,True,False,2026-02-08,True,True,False
934,CUST_0177,95.5,Debit,POS,2026-02-08 21:00:00,True,False,2026-02-08,True,True,False
937,CUST_0155,20.06,Debit,Branch,2026-02-09 00:00:00,False,False,2026-02-09,False,True,True
955,CUST_0180,100.29,Debit,POS,2026-02-09 18:00:00,True,False,2026-02-09,True,True,False
964,CUST_0154,43.64,Debit,POS,2026-02-10 03:00:00,False,False,2026-02-10,False,True,False
